algorithm,n,type,domain,sample,status,time_seconds,max_rss_kb,error
quick,10,aleatorio,D1,c,OK,5.55e-07,3328,
patience,10,aleatorio,D1,c,OK,5.755e-06,3456,
std,10,aleatorio,D1,c,OK,7.75e-07,3456,
merge,10,aleatorio,D7,a,OK,1.591e-06,3328,
quick,10,aleatorio,D7,a,OK,7.48e-07,3456,
patience,10,aleatorio,D7,a,OK,5.749e-06,3456,
std,10,aleatorio,D7,a,OK,7.64e-07,3456,
merge,10,aleatorio,D7,b,OK,1.62e-06,3456,
quick,10,aleatorio,D7,b,OK,6.16e-07,3456,
patience,10,aleatorio,D7,b,OK,5.455e-06,3456,
std,10,aleatorio,D7,b,OK,1.017e-06,3456,
merge,10,aleatorio,D7,c,OK,1.53e-06,3456,
quick,10,aleatorio,D7,c,OK,8.94e-07,3328,
patience,10,aleatorio,D7,c,OK,5.946e-06,3328,
std,10,aleatorio,D7,c,OK,9.56e-07,3456,
merge,10,ascendente,D1,a,OK,1.959e-06,3328,
quick,10,ascendente,D1,a,OK,6.05e-07,3456,
patience,10,ascendente,D1,a,OK,6.203e-06,3328,
std,10,ascendente,D1,a,OK,6.1e-07,3456,
merge,10,ascendente,D1,b,OK,1.604e-06,3328,
quick,10,ascendente,D1,b,OK,5.47e-07,3456,
patience,10,ascendente,D1,b,OK,6.846e-06,3456,
std,10,ascendente,D1,b,OK,8.91e-07,3456,
merge,10,ascendente,D1,c,OK,1.751e-06,3456,
quick,10,ascendente,D1,c,OK,4.64e-07,3456,
patience,10,ascendente,D1,c,OK,6.218e-06,3328,
std,10,ascendente,D1,c,OK,9.76e-07,3328,
merge,10,ascendente,D7,a,OK,1.358e-06,3456,
quick,10,ascendente,D7,a,OK,4.83e-07,3456,
patience,10,ascendente,D7,a,OK,8.683e-06,3328,
std,10,ascendente,D7,a,OK,6.74e-07,3456,
merge,10,ascendente,D7,b,OK,1.257e-06,3456,
quick,10,ascendente,D7,b,OK,8.42e-07,3456,
patience,10,ascendente,D7,b,OK,8.744e-06,3328,
std,10,ascendente,D7,b,OK,6.15e-07,3456,
merge,10,ascendente,D7,c,OK,1.244e-06,3328,
quick,10,ascendente,D7,c,OK,4.58e-07,3456,
patience,10,ascendente,D7,c,OK,9.278e-06,3456,
std,10,ascendente,D7,c,OK,9.12e-07,3456,
merge,10,descendente,D1,a,OK,1.645e-06,3456,
quick,10,descendente,D1,a,OK,4.83e-07,3456,
patience,10,descendente,D1,a,OK,4.061e-06,3328,
std,10,descendente,D1,a,OK,8.91e-07,3328,
merge,10,descendente,D1,b,OK,1.714e-06,3456,
quick,10,descendente,D1,b,OK,7.9e-07,3328,
patience,10,descendente,D1,b,OK,2.529e-06,3328,
std,10,descendente,D1,b,OK,7.81e-07,3328,
merge,10,descendente,D1,c,OK,1.691e-06,3328,
quick,10,descendente,D1,c,OK,5.19e-07,3456,
patience,10,descendente,D1,c,OK,2.578e-06,3456,
std,10,descendente,D1,c,OK,1.827e-06,3328,
merge,10,descendente,D7,a,OK,1.51e-06,3456,
quick,10,descendente,D7,a,OK,5.9e-07,3456,
patience,10,descendente,D7,a,OK,2.498e-06,3456,
std,10,descendente,D7,a,OK,8.35e-07,3456,
merge,10,descendente,D7,b,OK,1.694e-06,3456,
quick,10,descendente,D7,b,OK,7.09e-07,3456,
patience,10,descendente,D7,b,OK,2.426e-06,3328,
std,10,descendente,D7,b,OK,7.87e-07,3328,
merge,10,descendente,D7,c,OK,1.465e-06,3328,
quick,10,descendente,D7,c,OK,6.91e-07,3328,
patience,10,descendente,D7,c,OK,2.808e-06,3328,
std,10,descendente,D7,c,OK,1.142e-06,3456,
